technique,n_vectors,dim,elapsed_ms,cosine_sim_mean,cosine_sim_std,cosine_sim_p05,norm_ratio_mean,norm_ratio_std,mse_vs_original,ks_statistic,ks_pvalue,entropy_original,entropy_obfuscated,pairwise_corr,recovery_cosine
noise_low::noise,68,3072,3.4755810047499835,0.9637314924583881,0.0009547004069101991,0.9620978926892839,1.0384539152620498,0.004213165771289629,2.5005195471878167e-05,0.012096928615196095,1.0500320421198213e-13,-12.98385976725162,-12.384738713061493,0.9983110794283412,
noise_low::rotation,68,3072,570.6119030364789,0.999986356755074,7.490955074890888e-06,0.9999722351791135,1.0,0.0,8.881265983946129e-09,7.18060661765163e-05,1.0,-12.98385976725162,-12.983892563345524,1.0,1.0
noise_low::scaling,68,3072,0.9945409838110209,1.0,1.564309409720173e-16,0.9999999999999998,0.9524834707385323,0.09074737490212409,3.4154524835598895e-06,0.01303998161764705,7.415987818221192e-16,-12.98385976725162,-13.445537793877143,0.9999999999999999,1.0
noise_low::offset,68,3072,1.6239910037256777,0.5289254302349109,0.010458230451990534,0.5133195603214863,1.884330955878076,0.0178083655213036,0.0008324683203610398,0.1865904564950981,0.0,-12.98385976725162,-7.786267448656274,0.7347162927177284,
noise_low::noise+rotation,68,3072,568.1436429731548,0.963653046557656,0.0009696458297657678,0.9622003351278032,1.039250019577777,0.004903318264243061,2.5099554528532743e-05,0.012163947610294129,7.475921036434353e-14,-12.98385976725162,-12.434535097433608,0.9981407126567065,0.963653756444611
noise_low::noise+rotation+scaling,68,3072,655.6732860044576,0.9637046516729049,0.0010541229609773216,0.9620054858321992,1.0113345944182377,0.10108069998310146,2.727391966181831e-05,0.004791858149509776,0.016461817189461218,-12.98385976725162,-12.77262903924608,0.9982069668125031,0.9637147155655237
noise_low::all,68,3072,755.9685820015147,0.5042431808829143,0.03899067403462467,0.4456464360616697,1.877733523762193,0.05969019359427957,0.0008565062300460367,0.18771063112745096,0.0,-12.98385976725162,-8.120319386371166,0.6867665596349621,0.5042505136010627
noise_med::noise,68,3072,4.084210959263146,0.8749495855441555,0.0034549130238171947,0.8692934369251727,1.1447220864806293,0.007710448282078558,0.00010002078188751267,0.03926355698529413,2.4095656695197166e-140,-12.98385976725162,-11.425116774408723,0.9829769505699668,
noise_med::rotation,68,3072,681.0402509872802,0.999986356755074,7.490955074890888e-06,0.9999722351791135,1.0,0.0,8.881265983946129e-09,7.18060661765163e-05,1.0,-12.98385976725162,-12.983892563345524,1.0,1.0
noise_med::scaling,68,3072,1.3244000147096813,1.0,1.564309409720173e-16,0.9999999999999998,0.9524834707385323,0.09074737490212409,3.4154524835598895e-06,0.01303998161764705,7.415987818221192e-16,-12.98385976725162,-13.445537793877143,0.9999999999999999,1.0
noise_med::offset,68,3072,1.497079967521131,0.5289254302349109,0.010458230451990534,0.5133195603214863,1.884330955878076,0.0178083655213036,0.0008324683203610398,0.1865904564950981,0.0,-12.98385976725162,-7.786267448656274,0.7347162927177284,
